		Current Fit	Current Fit	Reference Fit	Reference Fit
		ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
ATLAS	ATLAS_SINGLETOP_TCH_R_7TEV	1.0	1.1098229821723384	1.0	1.741006161263388
ATLAS	ATLAS_SINGLETOP_TCH_R_13TEV	1.0	0.2864282108437839	1.0	0.48996210414973107
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_T_RAP_NORM	3.0	0.3083781322843174	3.0	0.3098206858839815
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_7TEV_TBAR_RAP_NORM	3.0	0.2121770244354694	3.0	0.206218271752562
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_T_RAP_NORM	3.0	1.4894369366900937	3.0	1.3734346817554812
ATLAS	ATLAS_SINGLETOP_TCH_DIFF_8TEV_TBAR_RAP_NORM	3.0	0.8663775233515701	3.0	0.8528552608675835
CMS	Total	172.0	1.343176253423643	194.0	2.6840300098786054
CMS	CMSWEASY840PB	11.0	1.0728592270479775	11.0	1.0999057785355364
CMS	CMSWMASY47FB	11.0	1.8489808264854426	11.0	1.7180880495512205
CMS	CMSDY2D11	88.0	1.38665774185843	110.0	3.9699866719303563
CMS	CMSWMU8TEV	22.0	1.0116850061195568	22.0	0.7487907350413793
CMS	CMSTTBARTOT5TEV	1.0	1.5186480513065417	1.0	1.733251709853239
CMS	CMS_TTBAR_2D_DIFF_MTT_TRAP_NORM	15.0	2.6715663867580357	15.0	1.6254241861951466
CMS	CMS_TTB_DIFF_13TEV_2016_2L_TRAP	10.0	0.6590695138551863	10.0	0.4999703028890135
CMS	CMS_TTB_DIFF_13TEV_2016_LJ_TRAP	11.0	0.35857383728023967	11.0	0.21499959728183793
CMS	CMS_SINGLETOP_TCH_TOT_7TEV	1.0	1.423607838394739	1.0	1.5558886651521406
CMS	CMS_SINGLETOP_TCH_R_8TEV	1.0	0.4491472401478204	1.0	0.7350072132102272
CMS	CMS_SINGLETOP_TCH_R_13TEV	1.0	0.7119712582589757	1.0	0.9315301208726586
LHCb	Total	128.0	2.2030165415437026	116.0	2.087934933648558
LHCb	LHCBZ940PB	9.0	1.2352012080689612	9.0	1.3497571534159643
LHCb	LHCBZEE2FB_40	17.0	1.5481199871728633	17.0	1.317057356684611
LHCb	LHCBWZMU7TEV	33.0	2.9867080032587445	29.0	3.4178010866400674
LHCb	LHCBWZMU8TEV	34.0	2.5919323958317086	30.0	2.0656345580385747
LHCb	LHCB_Z_13TEV_DIMUON	18.0	1.3735758450307114	16.0	1.0655040499130088
LHCb	LHCB_Z_13TEV_DIELECTRON	17.0	1.8823400559703014	15.0	1.9061467510201056
Total	Total	2959.0	1.2329945526968373	2970.0	1.2876486812070136
