	mean	std	min	max
momentum	0.9999986315467306	2.1613416381949963e-06	0.9999965507408707	1.000019248351664
uvalence	1.9999897387509924	1.8353293751976216e-06	1.9999861087205961	2.0000007605425174
dvalence	0.9999908913591695	2.448804609463766e-06	0.9999868353251535	1.0000054803906455
svalence	1.9578960580360284e-06	2.9244775878983647e-06	-5.936964652010837e-06	1.2255848281711446e-05
cvalence	-1.1913405401256766e-08	6.667234164344008e-08	-1.7173634770634036e-07	2.5827157853979817e-07
