	mean	std	min	max
momentum	0.9999979383904435	8.956135103799225e-07	0.9999927730994395	0.9999995960455202
uvalence	1.9999884834461497	2.5239887262676763e-06	1.9999737340897055	1.9999953507171557
dvalence	0.9999896782599615	2.339277276169495e-06	0.9999842332733476	0.9999964717575158
svalence	1.3127761551973739e-06	3.413573923042966e-06	-1.7944785633215374e-05	1.2574960490303183e-05
cvalence	4.958713927855775e-10	1.0660847783512845e-07	-3.8512932803177507e-07	4.320324880763228e-07
