	mean	std
u momentum fraction	0.3587	0.0036
ubar momentum fraction	0.0304	0.0013
d momentum fraction	0.1645	0.0030
dbar momentum fraction	0.0397	0.0015
s momentum fraction	0.0231	0.0025
sbar momentum fraction	0.0176	0.0013
cp momentum fraction	-0.0176	0.0036
cm momentum fraction	-5E-11	7.5E-10
g momentum fraction	0.3837	0.0040
T3	0.90	0.20
T8	4.83	0.76
